benchmark,model,ece_lf_mean,ece_lf_final,attainment,n_att,se
Park-Fav,Sparse MFGP,0.22228940539815278,0.26349999999999996,0.8343406593406593,40,0.0190228973724979
Park-Fav,Stop-Gradient Joint,0.44340304745490117,0.42000000000000004,0.7370879120879121,40,0.0216672430598623
Park-Unfav,Adapter,0.37142575548950685,0.32674696947744614,0.8513736263736262,40,0.0182952309282966
Park-Unfav,DKL,0.24011026767021884,0.2481361172112834,0.8420329670329669,40,0.0173112699634815
Park-Unfav,Domain Adaptation (MMD),0.37072784523506697,0.3297824302134647,0.8013736263736263,40,0.0199988988237193
Park-Unfav,End-to-End Joint,0.3659724170122718,0.31619596976721726,0.8598901098901098,40,0.01771378614318
Park-Unfav,Feature-extraction transfer,0.3660913763138888,0.31858845262242824,0.85,40,0.0195414267077934
Park-Unfav,MFGP,0.1729175487929495,0.15133021367693805,0.7739010989010989,40,0.0236176486278186
Park-Unfav,Pretrain-then-Joint,0.3568790799394902,0.2933635540423066,0.849175824175824,40,0.0190334745204243
Park-Unfav,Progressive,0.3629051466317218,0.30566393798898867,0.8642857142857142,40,0.0158297613103491
Park-Unfav,Sequential,0.366311268118167,0.3189567637399787,0.8508241758241759,40,0.0195388021786682
Park-Unfav,Soft Parameter Sharing,0.389518159769642,0.3482885999227277,0.8678571428571431,40,0.0176732626860869
Park-Unfav,Sparse MFGP,0.204799694593445,0.21017316416153348,0.8876373626373628,40,0.011761305931602
Park-Unfav,Stop-Gradient Joint,0.36920811563233147,0.3257623514923211,0.8552197802197803,40,0.0188203908826886
Polarizability,Adapter,0.37530494951776083,0.3766790143691126,0.962579461071107,40,0.0054367248909159
Polarizability,DKL,0.12800380222766944,0.13717925087301522,0.9449444944494448,40,0.0099370419075127
Polarizability,Domain Adaptation (MMD),0.368351057300793,0.3767221712790712,0.962579461071107,40,0.0054367248909159
Polarizability,End-to-End Joint,0.37305260752493663,0.36699666320135516,0.962579461071107,40,0.0054367248909159
Polarizability,Feature-extraction transfer,0.37510557939310596,0.375951756373701,0.962579461071107,40,0.0054367248909159
Polarizability,MFGP,0.10557212822742527,0.05868966707625559,0.9531167960546052,40,0.0115903736914741
